Algorithm,Function,Value
FireflyAlgorithm,sphere,161.08261879658647
FireflyAlgorithm,schwefel,12395.216505188564
FireflyAlgorithm,rosenbrock,3050321.061485712
FireflyAlgorithm,rastrigin,392.1927009648351
FireflyAlgorithm,griewank,5.6494855274374896
FireflyAlgorithm,levy,225.83860601356582
FireflyAlgorithm,michalewicz,-7.45336761696226
FireflyAlgorithm,zakharov,1896.305942957535
FireflyAlgorithm,ackley,20.483224463978924
ParticleSwarmOptimization,sphere,3.7427907510816802
ParticleSwarmOptimization,schwefel,11751.489906703955
ParticleSwarmOptimization,rosenbrock,2230.4818692789727
ParticleSwarmOptimization,rastrigin,138.475243212087
ParticleSwarmOptimization,griewank,1.0562547592524625
ParticleSwarmOptimization,levy,17.336868519734768
ParticleSwarmOptimization,michalewicz,-13.9165368258456
ParticleSwarmOptimization,zakharov,518.9509076366303
ParticleSwarmOptimization,ackley,10.547006521296165
SelfOrganizingMigrationAlgorithm,sphere,30.976434945511766
SelfOrganizingMigrationAlgorithm,schwefel,11968.467871761017
SelfOrganizingMigrationAlgorithm,rosenbrock,155724.9271060544
SelfOrganizingMigrationAlgorithm,rastrigin,151.77885806168672
SelfOrganizingMigrationAlgorithm,griewank,1.7485424411367982
SelfOrganizingMigrationAlgorithm,levy,35.97526812768716
SelfOrganizingMigrationAlgorithm,michalewicz,-17.20431304007559
SelfOrganizingMigrationAlgorithm,zakharov,389.1982458715564
SelfOrganizingMigrationAlgorithm,ackley,15.174960758063031
TeachingLearningBasedOptimization,sphere,1.028980081411523
TeachingLearningBasedOptimization,schwefel,12049.64084504092
TeachingLearningBasedOptimization,rosenbrock,882.156100674805
TeachingLearningBasedOptimization,rastrigin,234.076524896078
TeachingLearningBasedOptimization,griewank,1.0439632772998069
TeachingLearningBasedOptimization,levy,4.007212311613161
TeachingLearningBasedOptimization,michalewicz,-8.820348277105687
TeachingLearningBasedOptimization,zakharov,628.5658591114774
TeachingLearningBasedOptimization,ackley,6.455438297955222

DifferentialEvolution,sphere,62.49356975548567
DifferentialEvolution,schwefel,11858.110397630036
DifferentialEvolution,rosenbrock,374678.0722310736
DifferentialEvolution,rastrigin,248.53726414472314
DifferentialEvolution,griewank,2.3478481365016526
DifferentialEvolution,levy,50.77289367460754
DifferentialEvolution,michalewicz,-9.211404704405313
DifferentialEvolution,zakharov,1064.989142400811
DifferentialEvolution,ackley,18.74438474305243
FireflyAlgorithm,sphere,183.76089322782317
FireflyAlgorithm,schwefel,12445.785085020854
FireflyAlgorithm,rosenbrock,3336673.8753201943
FireflyAlgorithm,rastrigin,420.3325251572697
FireflyAlgorithm,griewank,5.239576331492002
FireflyAlgorithm,levy,187.91855849179353
FireflyAlgorithm,michalewicz,-8.437140580613466
FireflyAlgorithm,zakharov,1041.7203581056754
FireflyAlgorithm,ackley,20.744865022389487
ParticleSwarmOptimization,sphere,3.890942036776137
ParticleSwarmOptimization,schwefel,11808.441528446372
ParticleSwarmOptimization,rosenbrock,7001.986588986642
ParticleSwarmOptimization,rastrigin,184.22707979175084
ParticleSwarmOptimization,griewank,1.0851492433276442
ParticleSwarmOptimization,levy,8.116176100704427
ParticleSwarmOptimization,michalewicz,-14.636880219922746
ParticleSwarmOptimization,zakharov,463.771041100051
ParticleSwarmOptimization,ackley,7.112519123343583
SelfOrganizingMigrationAlgorithm,sphere,24.10470250970679
